title,price,availability
Logan Kade (Fallen Crest High #5.5),£13.12,"
    "
Libertarianism for Beginners,£51.33,"
    "
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,"
    "
It's Only the Himalayas,£45.17,"
    "
Suzie Snowflake: One beautiful flake (a self-esteem story),£54.81,"
    "
Olio,£23.88,"
    "
How to Stop Worrying and Start Living,£46.49,"
    "
We Are All Completely Beside Ourselves,£24.04,"
    "
A New Earth: Awakening to Your Life's Purpose,£55.65,"
    "
,£12.84,"
    "
Chasing Heaven: What Dying Taught Me About Living,£37.80,"
    "
Unreasonable Hope: Finding Faith in the God Who Brings Purpose to Your Pain,£46.33,"
    "
If I Gave You God's Phone Number....: Searching for Spirituality in America,£20.91,"
    "
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,£32.24,"
    "
If I Run (If I Run #1),£49.97,"
    "
Counted With the Stars (Out from Egypt #1),£17.97,"
    "
Like Never Before (Walker Family #2),£28.77,"
    "
"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories",£11.38,"
    "
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",£12.34,"
    "
Shadows of the Past (Logan Point #1),£39.67,"
    "
"House of Lost Worlds: Dinosaurs, Dynasties, and the Story of Life on Earth",£43.70,"
    "
The Guns of August,£14.54,"
    "
America's War for the Greater Middle East: A Military History,£51.22,"
    "
The Hiding Place,£55.91,"
    "
32 Yolks,£53.63,"
    "
A Short History of Nearly Everything,£52.40,"
    "
"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",£44.48,"
    "
The Mathews Men: Seven Brothers and the War Against Hitler's U-boats,£42.91,"
    "
1491: New Revelations of the Americas Before Columbus,£21.80,"
    "
Brilliant Beacons: A History of the American Lighthouse,£11.45,"
    "
The Rise and Fall of the Third Reich: A History of Nazi Germany,£39.67,"
    "
Zealot: The Life and Times of Jesus of Nazareth,£24.70,"
    "
A Distant Mirror: The Calamitous 14th Century,£14.58,"
    "
Catherine the Great: Portrait of a Woman,£58.55,"
    "
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,£59.64,"
    "
